response_id	prompt_id	model_name	document_id	author	title	publication_date	document_length	keep_fine_tuning	gt_period	pred_period	score_period_string	gt_timeframe	pred_timeframe	score_period_timeframe	gt_period_reason	pred_period_reasoning	gt_preferred_location	gt_accepted_locations	pred_location	score_location_string	gt_preferred_location_QID	gt_acceptable_location_QIDs	pred_location_qid	score_location_qid	gt_location_reason	pred_location_reasoning
bpt6k10901623$prompt-summary.txt$openai:o1-mini	prompt-summary.txt	openai:o1-mini	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages			1444, 1444	None, None		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The provided information does not specify a historical period in which the play is set.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title of the play refers to 'Reyne de Hongrie' (Queen of Hungary), indicating that the action is set in Hungary.
bpt6k10901623$prompt-metadata.txt$openai:gpt-4o	prompt-metadata.txt	openai:gpt-4o	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages	Middle Ages		1444, 1444	0400, 1500		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The title 'Théodore, Reyne de Hongrie' suggests a historical setting involving a queen of Hungary. Given the play is a tragi-comedy from the 17th century, it is likely set in a historical period that predates the publication. The Middle Ages is a common setting for plays involving European royalty.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Kingdom of Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title explicitly mentions 'Reyne de Hongrie', indicating that the setting is in Hungary. During the Middle Ages, the Kingdom of Hungary was a significant political entity.
bpt6k10901623$prompt-metadata.txt$deepseek:deepseek-reasoner	prompt-metadata.txt	deepseek:deepseek-reasoner	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages	High Middle Ages		1444, 1444	1000, 1300		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The title references a queen of Hungary, suggesting a medieval setting typical of tragicomedies from the 17th century that often dramatized historical or legendary figures. Hungary's prominence as a kingdom in the High Middle Ages (11th-13th centuries) aligns with the likely timeframe.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Kingdom of Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title explicitly states 'Reyne de Hongrie' (Queen of Hungary), indicating the play is set in the historical Kingdom of Hungary.
bpt6k10901623$prompt-metadata.txt$anthropic:claude-3-7-sonnet-20250219	prompt-metadata.txt	anthropic:claude-3-7-sonnet-20250219	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages	Medieval Hungary		1444, 1444	1000, 1526		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	Based on the title 'Théodore, Reyne de Hongrie' (Theodore, Queen of Hungary), the play likely takes place during medieval Hungary when the kingdom had independent monarchs. The play was written in the 17th century (1658), and French tragicomedies of this period often dramatized historical or semi-historical events from the medieval period.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Kingdom of Hungary		Q130212	Q130212 | Q28	Q28513		- name of the town: Albe royale - King and queen of Hungary	The title explicitly states 'Reyne de Hongrie' (Queen of Hungary), clearly indicating that the setting is the Kingdom of Hungary. The protagonist Theodore is presented as a queen of this realm.
bpt6k10901623$prompt-metadata.txt$openai:o1-mini	prompt-metadata.txt	openai:o1-mini	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages			1444, 1444	None, None		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The provided information does not specify the historical period of the play's action.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title of the play references the Queen of Hungary, indicating the action is set in Hungary.
bpt6k10901623$prompt-summary.txt$openai:gpt-4o	prompt-summary.txt	openai:gpt-4o	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages	17th century		1444, 1444	1601, 1700		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The play is a tragi-comedy published in 1658, and the language and style are consistent with 17th-century French literature.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title of the play is 'Théodore, Reyne de Hongrie,' which translates to 'Theodore, Queen of Hungary,' indicating that the action is set in Hungary.
bpt6k10901623$prompt-excerpt.txt$openai:o1-mini	prompt-excerpt.txt	openai:o1-mini	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages			1444, 1444	None, None		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The provided information does not specify the historical period in which the play is set.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title of the play references the 'Reyne de Hongrie' (Queen of Hungary), indicating the action takes place in Hungary.
bpt6k10901623$prompt-summary.txt$deepseek:deepseek-reasoner	prompt-summary.txt	deepseek:deepseek-reasoner	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages	16th century		1444, 1444	1501, 1600		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The play references 'Asie' and 'Amurat', likely alluding to the Ottoman Empire's conflicts with Hungary. The Ottoman-Hungarian wars peaked in the 16th century, particularly after the Battle of Mohács (1526). The mention of a 'Reine de Hongrie' (Queen of Hungary) and Ottoman figures suggests this period.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title explicitly mentions 'Reyne de Hongrie' (Queen of Hungary), and the Ottoman-Hungarian wars context reinforces Hungary as the primary setting.
bpt6k10901623$prompt-excerpt.txt$deepseek:deepseek-reasoner	prompt-excerpt.txt	deepseek:deepseek-reasoner	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages	Medieval Hungary		1444, 1444	1000, 1400		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The title refers to a queen of Hungary (Théodore, Reyne de Hongrie), and medieval Hungary (1000–1526) aligns with the likely historical context for a tragicomedy involving royal intrigue. The play's themes of repentance and royal authority suggest a pre-modern setting.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Kingdom of Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title explicitly states the setting as Hungary (Hongrie), and the excerpt references a king and queen, consistent with the medieval Kingdom of Hungary.
bpt6k10901623$prompt-summary.txt$anthropic:claude-3-7-sonnet-20250219	prompt-summary.txt	anthropic:claude-3-7-sonnet-20250219	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages	Middle Ages		1444, 1444	1000, 1500		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	From the context provided, the play mentions a 'Reyne de Hongrie' (Queen of Hungary) named Théodore in the title. There are references to a character called 'LE ROY' (The King), and mentions of courts, nobles ('Grands'), and medieval warfare elements. The presence of Amurat (likely referring to an Ottoman ruler) who is 'pressé de passer en Asie' (rushing to cross to Asia) suggests a medieval setting during Ottoman expansion. The themes of royal intrigue, adultery accusations against a queen, and court politics are consistent with medieval dramas.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title explicitly states 'Théodore, Reyne de Hongrie' (Theodore, Queen of Hungary), indicating Hungary as the primary setting. This is reinforced by references to court intrigue within a Hungarian royal court. The text also mentions Amurat passing to Asia, which suggests potential conflicts with the Ottoman Empire, which would be historically accurate for medieval Hungary.
bpt6k10901623$prompt-excerpt.txt$anthropic:claude-3-7-sonnet-20250219	prompt-excerpt.txt	anthropic:claude-3-7-sonnet-20250219	bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	80779	True	Middle Ages	Medieval Period		1444, 1444	1000, 1500		- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	The play is titled 'Théodore, Reyne de Hongrie' (Theodore, Queen of Hungary), which suggests a medieval Hungarian setting. In the excerpt, there are references to a 'Roi' (King) and a 'Prince', indicating a monarchical system typical of medieval Europe. The play was written in the 17th century (1658), but typically French classical drama of this period was set in earlier historical periods.	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	Hungary		Q130212	Q130212 | Q28	Q28		- name of the town: Albe royale - King and queen of Hungary	The title explicitly mentions 'Reyne de Hongrie' (Queen of Hungary), directly indicating that Hungary is the setting of the play. The main character Theodore is described as the Queen of Hungary, and the dramatic situation involves court intrigue with mentions of a King and Prince, which would be set in the royal court of Hungary.
