document_id	author	title	period	period_reason	timeframe_start	timeframe_end	preferred_location	accepted_locations	location_reason	preferred_location_QID	acceptable_location_QIDs	Anthology		
bpt6k5745752g	Boissin de Gallardon, Jean	Les tragédies et histoires saintes de Jean Boissin de Gallardon										Yes		
bpt6k5752605t	Hauteroche, Noël Lebreton	Les bourgeoises de qualité . Comedie. Par Mr de Haute Roche	Early modern	- This is a comedy - typical characters: Valet, laquais, servante - Publication date	1600	1691	Paris	Paris | France	- Paris is mentioned - Characters have French names	Q90	Q90 | Q142	No		
bpt6k852919x		Le Mariage de Fine-Epice. Comédie	Early modern	- This is a comedy - Typical characters: valet, prévôt - Publication date	1600	1664	Poitiers	Poitiers | France	- Poitiers is mentioned - Characters have French names	Q6616	Q6616 | Q142	No		
bpt6k12804007	Molière	Sganarelle ou le Cocu imaginaire, comédie avec les arguments de chaque scène	Early modern	- This is a comedy - Molière is the author - Publication date - Personnage de Sganarelle - Typical characters: bourgeois, valet	1600	1662	Paris	Paris | France	- Paris is mentioned - Characters have French names	Q90	Q90 | Q142	No		
bpt6k5772310n	Corneille, Thomas	Ariane , tragédie. Par T. Corneille	Ancient Greece	- This is a tragedy - Story based on a greek myth - Probably Late Bronze age for Theseus	-900	-701	Naxos	Naxos | Cyclades | Greece	- Famous myth of Ariane - Characters have Greek names	Q188527	Q188527 | Q171132 | Q41	No		
bpt6k1097720	La Calprenède, Gautier de Coste	Phalante : tragédie / de Mr de La Calprenède	Ancient Greece	- This is a tragedy - Story based on a greek myth	-1000	-700	Corinth	Corinth | Peloponnese | Greece	- Corinth is mentioned - Characters have Greek names	Q103011	Q103011 | Q78967 | Q41	No		
bpt6k58122453	Discret, L	Alizon, comédie Desdiée au jeunes veufves & aux vieilles filles	Early modern	- This is a comedy - There is a charivari - Publication date - Typical characters: bourgeois, soldat	1600	1637	Paris	Paris | France	- Paris is mentioned - Characters have French names	Q90	Q90 | Q142	No		
bpt6k1090222x	Boyer, Claude	Le Comte d'Essex, tragédie	Renaissance	- Historical character: Robert Devereux, 2nd Earl of Essex	1565	1601	London	London | England | United Kingdom	- Famous story of Robert Devereux, 2nd Earl of Essex	Q84	Q84 | Q21 | Q145	No		
bpt6k8568902	Behourt, Jean	Hypsicratee, ou La magnanimite tragoedie nouvellement représentee, au college des Bons Enfans	Ancient Rome	- This is a tragedy - Myth of Hypsicratia (sixth wife of Mithridates) - Hypsicratea floruit c. 63 BC - Greek and Roman characters	-70	-50	Kingdom of Pontus	Kingdom of Pontus | Minor Asia | Anatolia	- Kingdom of Mithridates - Greek and roman names	Q7380487	Q7380487 | Q51614	No		
bpt6k5734490j	Rotrou, Jean de	La Célimène , comédie de Rotrou. Accomodée au théâtre, sous le titre d'Amarillis, pastorale	Early modern	- This is a comedy - Name of the characters - Publication date - Typical pastorale characters: shepherd, lover	1600	1653	Lignon du Forez	Lignon du Forez | Forez | France	- Lignon (Lignon du Forez) is mentioned - Characters have French Baroque names	Q1125496	Q1125496 | Q1437284	No		
bpt6k6255892m	Mareschal, André	Le Railleur, ou La satyre du temps , comédie	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1638	Paris	Paris | France	- Paris is mentioned - Characters have French names	Q90	Q90 | Q142	No		
bpt6k1280445t	Molière	La Critique de l'Escole des femmes, comédie par J. B. P. Molière	Early modern	- This is a comedy - Molière is the author - Publication date - Typical characters: marquis, lackey	1600	1674	Paris	Paris | France	- Paris is mentioned - Characters have French names	Q90	Q90 | Q142	No		
btv1b8622111v	Rotrou, Jean de	La pelerine amoureuse, tragi-comedie de Rotrou.	Early modern	- Name of the characters - Publication date	1600	1637	Florence	Florence | Tuscany | Italy	- Florence is mentioned	Q142	Q2044 | Q1273 | Q38	No		
bpt6k10901623	Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	Middle Ages	- Mentions the Battle of Varna (Varne) - Mentions King Władysław (Ladislas), possibly Władysław III of Poland	1444	1444	Székesfehérvár	Székesfehérvár | Albe royale | Alba Regia | Hungary	- name of the town: Albe royale - King and queen of Hungary	Q130212	Q130212 | Q28	No		
btv1b86221039	Montfleury	La femme juge et partie . Comedie. Par A. J. Montfleury	Early modern	- This is a comedy - Name of the characters - Publication date - Typical comedy characters: valet, suivante, confident	1600	1669	Faro	Faro | Portugal	- Faro is mentioned - Portuguese name: Dom (not Don) Lope	Q159457	Q159457 | Q45	No		
bpt6k1090061b	Du Peschier, Nicolas	La Comédie des comédies, traduite d'italien en langage de l'Orateur François	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1629	France	France	- France is mentioned - Characters have French names	Q142	Q142	No		
bpt6k12804645	Molière	Le Sicilien, ou L'amour peintre, comedie. Par J. B. P. de Moliere	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1668	Sicily	Sicily | Italy	- Characters have Spanish names - Title of the play	Q1460	Q1460 | Q38	No		
bpt6k1090049w	Vion, Charles de	La Pompe funèbre, ou Damon et Cloris, pastorale ; suivi de La Réforme du Royaume d'Amour	Early modern	- This is a pastorale - Name of the characters - Greek Sicilian setting - Typical pastorale characters: shepherd, mistress - Translation of Cesare Cremonini	-735	-241	Sicily 	Sicily | Italy	- Greek names - Sicily is mentioned	Q1460	Q1460 | Q38	Yes		
btv1b8622099v	Rotrou, Jean de	Clorinde : comédie/de Rotrou	Early modern	- This is a comedy - Name of the characters - Typical comedy characters: lover, mistress - Publication date	1600	1637	Paris	Paris | France	- Paris is mentioned - Characters have French names	Q90	Q90 | Q142	No		
bpt6k10900954	Lambert	Les Sœurs jalouses, ou l'Escharpe et le Brasselet, comédie	Early modern	- This is a comedy - Name of the characters - Publication date - Typical comedy characters: friend, lover, valet	1600	1661	Poggio a Caiano	Pogge | Poggio a Caiano | Florence | Tuscany | Italy	- Poggio (Pogge, near Florence) is mentioned - Duke of Florence	Q20387	Q20387 | Q2044 | Q1273 | Q38	No		
bpt6k1090142b	Scarron, Paul	Le Prince corsaire, tragi-comédie	Early modern	- Name of the characters - Publication date - Story of a privateer - Turkish name (Orosmane)	1600	1663	Paphos	Paphos | Cyprus	- Paphos is mentioned - Cyprus is mentioned - Princess of Cyprus	Q180918	Q180918 |Q229	No		
bpt6k1280452z	Molière	L'Escole des femmes, comédie par J. B. P. Molière	Early modern	- This is a comedy - Name of the characters - Publication date	1600	1674	France	France	- No explicit name is given ("une ville") - "return" in France is mentioned - Characters have French and Spanish (Enrique) names	Q142	Q142	No		
bpt6k1090276g	Rotrou, Jean de	La Bague de l'oubly, comédie	Early modern	- This is a comedy - Publication date - Greek (Lysis), Spanish (Alphonse) and Norman (Tancrède) names	1600	1654	Palermo	Palermo | Sicily | Italy	- Palermo is mentioned - Count of Taranto, King of Sicily - Norman name: Tancrède	Q2656	Q2656 | Q1460 | Q38	No		
bpt6k5629556w	Campistron, Jean Galbert de	Alcide, tragédie en musique (paroles de Campistron, musique de Lulli et Marais), représentée par l'Académie royalle de musique	Ancient Greece	- This is a tragedy - Greek myth of Alcides (=Heracles)	-1300	-1200	Oechalia 	Oechalia | Thessaly | Greece	- Oechalia, Thessaly are mentioned - Characters have Greek names	Q3594069	Q3594069 | Q166919 | Q41	No		
bpt6k857183z	Bigres de Jussy, Pierre-Louis	Adolphe ou Le bigame genereux . Tragi-comedie.	Early modern	- This is a tragi-comedy - Name of the characters - Publication date - Irène is the daughter of the Sultan - Unlikely the emperor Frederick is Frederick II	1600	1650	Herford	Herford | Holy Roman Empire | Germany	- Herford is mentioned - Frederick, emperor of the Holy Roman Empire	Q3971	Q3971 | Q12548 | Q183	No		
bpt6k12801807	Tasse, Le	L'Aminte,... pastorale fidellement traduite de l'italien en vers françois [par Vion Dalibray]...	Ancient Greece	-This is a pastorale play - Story of Tasso - Historical character: Amyntas, officer in Alexander the Great's army	-356	-323	Greece	Greece	- Greek soldier	Q41		No		
bpt6k1090170n	Rotrou, Jean de	Les Ménechmes, comédie	Ancient Rome	- Epidamnos becomes Roman - Adapted from Plautus: Not after his death	-229	-184	Epidamnos	Epidamnos | Durrës | Albania | Greece	- Epidamnos (Épidamnie) is mentioned	Q3567546	Q3567546 | Q83285 | Q222 | Q41	No		
bpt6k1090131j	Boyer, Claude	Le Fils supposé, tragédie	Ancient Greece	- This is a tragedy - Ariarathes of Cappadocia - Antiochis as wife of Ariarathes, so possibly Ariarathes the 4th	-220	-163	Kayseri	Kayseri | Cappadocia | Minor Asia | Greece | Turkey	- Césarée (Caesarea) is mentioned as the setting - Ariarathes of Cappadocia is the king, therefore it is Caesarea in Cappadocia	Q48338	Q48338 | Q217265 | Q51614 | Q41 | Q43	No		
bpt6k63412802	Mareschal, André	Le Dictateur romain : tragédie dédiée à Mgr le duc d'Espernon / [A. Mareschal]	Ancient Rome	- This is a tragedy - Historical character: Lucius Papirius Cursor, dictator - Roman characters: tribune, consul	-365	-310	Rome	Rome | Roman Empire | Italy	- The palace of Camillus is mentioned as the setting - Rome is mentioned - Roman politicians	Q220	Q220 | Q2277 | Q38	No		
bpt6k1513096g	Rayssiguier, De	Alidor et Oronte. Tragi-comedie du sieur de R.	Early modern	- Name of the characters - Publication date	1600	1636	France	France	- Alidor has moved from England to (probably) France	Q142	Q142	No		
