document_id	author	title	annotated	exclude	keep_fine_tuning	publication_date	document_length	link	link_OCR	notes
bpt6k5745752g	Boissin de Gallardon, Jean	Les tragédies et histoires saintes de Jean Boissin de Gallardon	FALSE	TRUE	FALSE	1618	338338	http://catalogue.bnf.fr/ark:/12148/cb30122385g	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5745752g.txt	
bpt6k5752605t	Hauteroche, Noël Lebreton	Les bourgeoises de qualité . Comedie. Par Mr de Haute Roche	TRUE	FALSE	FALSE	1691	103493	http://catalogue.bnf.fr/ark:/12148/cb30582284s	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5752605t.txt	
bpt6k852919x		Le Mariage de Fine-Epice. Comédie	TRUE	FALSE	FALSE	1664	134035	http://catalogue.bnf.fr/ark:/12148/cb39325270g	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k852919x.txt	
bpt6k12804007	Molière	Sganarelle ou le Cocu imaginaire, comédie avec les arguments de chaque scène	TRUE	FALSE	FALSE	1662	67710	http://catalogue.bnf.fr/ark:/12148/cb38650865b	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k12804007.txt	
bpt6k5772310n	Corneille, Thomas	Ariane , tragédie. Par T. Corneille	TRUE	FALSE	FALSE	1672	76240	http://catalogue.bnf.fr/ark:/12148/cb30272162g	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5772310n.txt	
bpt6k1097720	La Calprenède, Gautier de Coste	Phalante : tragédie / de Mr de La Calprenède	TRUE	FALSE	FALSE	1642	82353	http://catalogue.bnf.fr/ark:/12148/cb30706516s	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1097720.txt	
bpt6k58122453	Discret, L	Alizon, comédie Desdiée au jeunes veufves & aux vieilles filles	TRUE	FALSE	FALSE	1637	97150	http://catalogue.bnf.fr/ark:/12148/cb30344267h	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k58122453.txt	
bpt6k1090222x	Boyer, Claude	Le Comte d'Essex, tragédie	TRUE	FALSE	FALSE	1678	82446	http://catalogue.bnf.fr/ark:/12148/cb44729657f	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090222x.txt	
bpt6k8568902	Behourt, Jean	Hypsicratee, ou La magnanimite tragoedie nouvellement représentee, au college des Bons Enfans	TRUE	FALSE	FALSE	1604	107857	http://catalogue.bnf.fr/ark:/12148/cb30077767q	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k8568902.txt	
bpt6k5734490j	Rotrou, Jean de	La Célimène , comédie de Rotrou. Accomodée au théâtre, sous le titre d'Amarillis, pastorale	TRUE	FALSE	FALSE	1653	79660	http://catalogue.bnf.fr/ark:/12148/cb31251862w	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5734490j.txt	
bpt6k6255892m	Mareschal, André	Le Railleur, ou La satyre du temps , comédie	TRUE	FALSE	FALSE	1638	98946	http://catalogue.bnf.fr/ark:/12148/cb30881262r	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k6255892m.txt	
