author,title,publication_date,link,document_id,document_length,link_OCR
"Boissin de Gallardon, Jean",Les tragédies et histoires saintes de Jean Boissin de Gallardon,1618,http://catalogue.bnf.fr/ark:/12148/cb30122385g,bpt6k5745752g,338338,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5745752g.txt
"Hauteroche, Noël Lebreton",Les bourgeoises de qualité . Comedie. Par Mr de Haute Roche,1691,http://catalogue.bnf.fr/ark:/12148/cb30582284s,bpt6k5752605t,103493,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5752605t.txt
,Le Mariage de Fine-Epice. Comédie,1664,http://catalogue.bnf.fr/ark:/12148/cb39325270g,bpt6k852919x,134035,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k852919x.txt
Molière,"Sganarelle ou le Cocu imaginaire, comédie avec les arguments de chaque scène",1662,http://catalogue.bnf.fr/ark:/12148/cb38650865b,bpt6k12804007,67710,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k12804007.txt
"Corneille, Thomas","Ariane , tragédie. Par T. Corneille",1672,http://catalogue.bnf.fr/ark:/12148/cb30272162g,bpt6k5772310n,76240,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5772310n.txt
"La Calprenède, Gautier de Coste",Phalante : tragédie / de Mr de La Calprenède,1642,http://catalogue.bnf.fr/ark:/12148/cb30706516s,bpt6k1097720,82353,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1097720.txt
"Discret, L","Alizon, comédie Desdiée au jeunes veufves & aux vieilles filles",1637,http://catalogue.bnf.fr/ark:/12148/cb30344267h,bpt6k58122453,97150,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k58122453.txt
"Boyer, Claude","Le Comte d'Essex, tragédie",1678,http://catalogue.bnf.fr/ark:/12148/cb44729657f,bpt6k1090222x,82446,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090222x.txt
"Behourt, Jean","Hypsicratee, ou La magnanimite tragoedie nouvellement représentee, au college des Bons Enfans",1604,http://catalogue.bnf.fr/ark:/12148/cb30077767q,bpt6k8568902,107857,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k8568902.txt
"Rotrou, Jean de","La Célimène , comédie de Rotrou. Accomodée au théâtre, sous le titre d'Amarillis, pastorale",1653,http://catalogue.bnf.fr/ark:/12148/cb31251862w,bpt6k5734490j,79660,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5734490j.txt
"Mareschal, André","Le Railleur, ou La satyre du temps , comédie",1638,http://catalogue.bnf.fr/ark:/12148/cb30881262r,bpt6k6255892m,98946,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k6255892m.txt
Molière,"La Critique de l'Escole des femmes, comédie par J. B. P. Molière",1674,http://catalogue.bnf.fr/ark:/12148/cb38650917r,bpt6k1280445t,49680,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1280445t.txt
