author	title	publication_date	link	path	filename	document_id	entity_linking
Molière	Dépit amoureux comedie, representée sur le theatre du Palais Royal. De J. B. P. Moliere	1663	http://catalogue.bnf.fr/ark:/12148/cb30958511x	../TheatreLFSV2-downloaded/NER/btv1b8610784x.tar.gz.tei_segmented_ner.xml	btv1b8610784x.tar.gz.tei_segmented_ner.xml	btv1b8610784x	spacy_entity_fishing
Charenton, De	La mort de Baltazar, roy de Babilone , tragédie. Par le sieur de Charenton	1662	http://catalogue.bnf.fr/ark:/12148/cb302231720	../TheatreLFSV2-downloaded/NER/bpt6k5772699f.tar.gz.tei_segmented_ner.xml	bpt6k5772699f.tar.gz.tei_segmented_ner.xml	bpt6k5772699f	spacy_entity_fishing
Corneille, Pierre	Le Cid, tragédie	1651	http://catalogue.bnf.fr/ark:/12148/cb386502363	../TheatreLFSV2-downloaded/NER/bpt6k1280315b.tar.gz.tei_segmented_ner.xml	bpt6k1280315b.tar.gz.tei_segmented_ner.xml	bpt6k1280315b	spacy_entity_fishing
Baro, Balthasar	La Clorise, pastorale	1632	http://catalogue.bnf.fr/ark:/12148/cb447294436	../TheatreLFSV2-downloaded/NER/bpt6k1090014p.tar.gz.tei_segmented_ner.xml	bpt6k1090014p.tar.gz.tei_segmented_ner.xml	bpt6k1090014p	spacy_entity_fishing
Troterel, Pierre	La Driade amoureuse, pastorale. De l'invention de P. Troterel sieur d'Aves	1606	http://catalogue.bnf.fr/ark:/12148/cb39333415m	../TheatreLFSV2-downloaded/NER/bpt6k10404279.tar.gz.tei_segmented_ner.xml	bpt6k10404279.tar.gz.tei_segmented_ner.xml	bpt6k10404279	spacy_entity_fishing
Rotrou, Jean de	La Bague de l'oubly, comédie	1654	http://catalogue.bnf.fr/ark:/12148/cb44729709v	../TheatreLFSV2-downloaded/NER/bpt6k1090276g.tar.gz.tei_segmented_ner.xml	bpt6k1090276g.tar.gz.tei_segmented_ner.xml	bpt6k1090276g	spacy_entity_fishing
Chevillard, François	La mort de Théandre, ou La sanglante tragédie de la mort et passion de Notre-Seigneur Jésus-Christ , enrichi de six cantiques, avec le massacre des Innocens	1649	http://catalogue.bnf.fr/ark:/12148/cb30236588d	../TheatreLFSV2-downloaded/NER/bpt6k1173055.tar.gz.tei_segmented_ner.xml	bpt6k1173055.tar.gz.tei_segmented_ner.xml	bpt6k1173055	spacy_entity_fishing
Dancourt	Le mari retrouvé . Comédie	1698	http://catalogue.bnf.fr/ark:/12148/cb30297764f	../TheatreLFSV2-downloaded/NER/bpt6k5817834x.tar.gz.tei_segmented_ner.xml	bpt6k5817834x.tar.gz.tei_segmented_ner.xml	bpt6k5817834x	spacy_entity_fishing
Molière	Le misantrope, comédie par J. B. P. de Molière	1675	http://catalogue.bnf.fr/ark:/12148/cb386509799	../TheatreLFSV2-downloaded/NER/bpt6k1280470w.tar.gz.tei_segmented_ner.xml	bpt6k1280470w.tar.gz.tei_segmented_ner.xml	bpt6k1280470w	spacy_entity_fishing
Scudéry, Georges de	Le prince déguisé . Tragi-comédie. Par M. de Scudéry	1636	http://catalogue.bnf.fr/ark:/12148/cb313417570	../TheatreLFSV2-downloaded/NER/bpt6k5620674c.tar.gz.tei_segmented_ner.xml	bpt6k5620674c.tar.gz.tei_segmented_ner.xml	bpt6k5620674c	spacy_entity_fishing
Tristan L'Hermite	Panthée, tragédie de M. de Tristan	1639	http://catalogue.bnf.fr/ark:/12148/cb314972698	../TheatreLFSV2-downloaded/NER/bpt6k15110748.tar.gz.tei_segmented_ner.xml	bpt6k15110748.tar.gz.tei_segmented_ner.xml	bpt6k15110748	spacy_entity_fishing
	Les Thuilleries trage-comedie	1636	http://catalogue.bnf.fr/ark:/12148/cb31183482b	../TheatreLFSV2-downloaded/NER/bpt6k1513094n.tar.gz.tei_segmented_ner.xml	bpt6k1513094n.tar.gz.tei_segmented_ner.xml	bpt6k1513094n	spacy_entity_fishing
Molière	Le Mariage forcé, comédie par J. B. P. de Molière	1674	http://catalogue.bnf.fr/ark:/12148/cb386509241	../TheatreLFSV2-downloaded/NER/bpt6k1280449g.tar.gz.tei_segmented_ner.xml	bpt6k1280449g.tar.gz.tei_segmented_ner.xml	bpt6k1280449g	spacy_entity_fishing
